strategy,turns,index,square,type,mean_percentage,stdev_percentage,min_percentage,max_percentage
B,100000,8,Vermont Avenue,Property,2.164400,0.037376,2.118000,2.226000
B,100000,9,Connecticut Avenue,Property,2.170400,0.028344,2.132000,2.216000
B,100000,10,Jail / Just Visiting,Jail,13.492800,0.174887,13.253000,13.831000
B,100000,11,St. Charles Place,Property,2.486800,0.040565,2.432000,2.553000
B,100000,12,Electric Company,Utility,2.599300,0.045164,2.541000,2.663000
B,100000,13,States Avenue,Property,2.112200,0.025819,2.084000,2.159000
B,100000,14,Virginia Avenue,Property,2.402100,0.037995,2.355000,2.479000
B,100000,15,Pennsylvania Railroad,Railroad,2.607900,0.059021,2.520000,2.719000
B,100000,16,St. James Place,Property,2.681200,0.049902,2.596000,2.745000
B,100000,17,Community Chest 2,Community Chest,2.275300,0.033546,2.224000,2.323000
B,100000,18,Tennessee Avenue,Property,2.814200,0.046714,2.726000,2.883000
B,100000,19,New York Avenue,Property,2.826500,0.061905,2.731000,2.912000
B,100000,20,Free Parking,Free Parking,2.837900,0.047989,2.775000,2.937000
B,100000,21,Kentucky Avenue,Property,2.563300,0.028480,2.530000,2.619000
B,100000,22,Chance 2,Chance,1.011300,0.033477,0.950000,1.066000
B,100000,23,Indiana Avenue,Property,2.481900,0.054806,2.421000,2.616000
B,100000,24,Illinois Avenue,Property,2.935000,0.041751,2.868000,3.006000
B,100000,25,B. & O. Railroad,Railroad,2.824700,0.043749,2.769000,2.902000
B,100000,26,Atlantic Avenue,Property,2.459800,0.032465,2.413000,2.518000
B,100000,27,Ventnor Avenue,Property,2.436700,0.052230,2.344000,2.505000
B,100000,28,Water Works,Utility,2.600100,0.043281,2.553000,2.675000
B,100000,29,Marvin Gardens,Property,2.329300,0.029564,2.298000,2.390000
B,100000,30,Go to Jail,Go to Jail,0.000000,0.000000,0.000000,0.000000
B,100000,31,Pacific Avenue,Property,2.434500,0.036161,2.379000,2.480000
B,100000,32,North Carolina Avenue,Property,2.489900,0.066033,2.393000,2.598000
B,100000,33,Community Chest 3,Community Chest,2.134300,0.031049,2.091000,2.185000
B,100000,34,Pennsylvania Avenue,Property,2.359600,0.043712,2.291000,2.453000
B,100000,35,Short Line,Railroad,2.200400,0.034232,2.134000,2.243000
B,100000,36,Chance 3,Chance,0.786700,0.016385,0.760000,0.810000
B,100000,37,Park Place,Property,1.907400,0.037420,1.867000,1.986000
B,100000,38,Luxury Tax,Tax,2.066400,0.043211,1.973000,2.121000
B,100000,39,Boardwalk,Property,2.352900,0.036075,2.299000,2.412000
